Player_Name,Hero_Pick,Player_Role,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Clayyy,Luo Yi,Midlane,"[0, 0.59, 0.41]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.6, 0.4]","[0, 0.92, 0.08]","[0, 0.47, 0.53]"
Clayyy,Luo Yi,Midlane,"[0.64, 0.36, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0, 0.93, 0.07]","[0.01, 0.99, 0]","[0, 1.0, 0.0]"
Yehezkiel,Novaria,Midlane,"[0, 0.09, 0.91]","[0, 0.07, 0.93]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0, 0, 1.0]","[0.53, 0.47, 0]","[0.09, 0.91, 0]"
Clawkun,Luo Yi,Midlane,"[0.28, 0.72, 0]","[0, 0.17, 0.83]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0, 0.44, 0.56]","[0, 0.55, 0.45]","[0, 0.99, 0.01]"
Clawkun,Luo Yi,Midlane,"[0.61, 0.39, 0]","[0.45, 0.55, 0]","[0.08, 0.92, 0]","[0, 0.98, 0.02]","[0.43, 0.57, 0]","[0.2, 0.8, 0]","[0, 0.39, 0.61]"
Yehezkiel,Novaria,Midlane,"[0.86, 0.14, 0]","[0.85, 0.15, 0]","[0.77, 0.23, 0]","[0.69, 0.31, 0]","[1.0, 0, 0]","[0.96, 0.04, 0]","[1.0, 0, 0]"
Clawkun,Luo Yi,Midlane,"[0.28, 0.72, 0]","[0.72, 0.28, 0]","[0.54, 0.46, 0]","[0.3, 0.7, 0]","[0.81, 0.19, 0]","[0.72, 0.28, 0]","[1.0, 0, 0]"
Aboy,Luo Yi,Midlane,"[0.43, 0.57, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0, 0.78, 0.22]","[0.53, 0.47, 0]","[0, 0.79, 0.21]","[1.0, 0, 0]"
Sanz,Pharsa,Midlane,"[0.07, 0.93, 0]","[0, 0.94, 0.06]","[0, 0, 1.0]","[0.14, 0.86, 0]","[0.22, 0.78, 0]","[0, 0.93, 0.07]","[1.0, 0, 0]"
Aboy,Novaria,Midlane,"[0, 0.09, 0.91]","[0, 0.47, 0.53]","[0, 0, 1.0]","[0, 0.29, 0.71]","[0, 0.79, 0.21]","[0.81, 0.19, 0]","[0, 0, 1.0]"
Sanz,Faramis,Midlane,"[0.86, 0.14, 0]","[0.49, 0.51, 0]","[0.31, 0.69, 0]","[0.06, 0.94, 0]","[0.35, 0.65, 0]","[0, 0.18, 0.82]","[1.0, 0, 0]"
Aboy,Novaria,Midlane,"[0, 0.72, 0.28]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0, 0.83, 0.17]","[0.21, 0.79, 0]","[0.46, 0.54, 0]","[0, 0.29, 0.71]"
Sanz,Luo Yi,Midlane,"[0.14, 0.86, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.68, 0.32]","[0, 0.85, 0.15]","[0.1, 0.9, 0]","[0, 0.78, 0.22]"
Aboy,Novaria,Midlane,"[0.64, 0.36, 0]","[0, 0.95, 0.05]","[0, 0, 1.0]","[0, 0.44, 0.56]","[0.39, 0.61, 0]","[0.25, 0.75, 0]","[0.77, 0.23, 0]"
Sanz,Pharsa,Midlane,"[0.14, 0.86, 0]","[0, 1.0, 0.0]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0, 0.84, 0.16]","[0.66, 0.34, 0]","[0, 0.94, 0.06]"
