Role,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,Performance
Midlane,high,high,NaN,low,medium,NaN,NaN,good
Midlane,high,high,NaN,low,high,NaN,NaN,good
Midlane,high,high,NaN,medium,low,NaN,NaN,good
Midlane,high,high,NaN,medium,medium,NaN,NaN,good
Midlane,high,high,NaN,medium,high,NaN,NaN,good
Midlane,high,high,NaN,high,low,NaN,NaN,good
Midlane,high,high,NaN,high,medium,NaN,NaN,good
Midlane,high,high,NaN,high,high,NaN,NaN,good
Explane,low,NaN,low,low,NaN,low,NaN,bad
Explane,low,NaN,low,low,NaN,medium,NaN,bad
Explane,low,NaN,low,low,NaN,high,NaN,bad
Explane,low,NaN,low,medium,NaN,low,NaN,bad
Explane,low,NaN,low,medium,NaN,medium,NaN,decent
Explane,low,NaN,low,medium,NaN,high,NaN,bad
Explane,low,NaN,low,high,NaN,low,NaN,bad
Explane,low,NaN,low,high,NaN,medium,NaN,bad
Explane,low,NaN,low,high,NaN,high,NaN,good
Explane,low,NaN,medium,low,NaN,low,NaN,bad
Explane,low,NaN,medium,low,NaN,medium,NaN,decent
Explane,low,NaN,medium,low,NaN,high,NaN,bad
Explane,low,NaN,medium,medium,NaN,low,NaN,decent
Explane,low,NaN,medium,medium,NaN,medium,NaN,decent
Explane,low,NaN,medium,medium,NaN,high,NaN,decent
Explane,low,NaN,medium,high,NaN,low,NaN,bad
Explane,low,NaN,medium,high,NaN,medium,NaN,decent
Explane,low,NaN,medium,high,NaN,high,NaN,good
Explane,low,NaN,high,low,NaN,low,NaN,bad
Explane,low,NaN,high,low,NaN,medium,NaN,bad
Explane,low,NaN,high,low,NaN,high,NaN,good
Explane,low,NaN,high,medium,NaN,low,NaN,bad
Explane,low,NaN,high,medium,NaN,medium,NaN,decent
Explane,low,NaN,high,medium,NaN,high,NaN,good
Explane,low,NaN,high,high,NaN,low,NaN,good
Explane,low,NaN,high,high,NaN,medium,NaN,good
Explane,low,NaN,high,high,NaN,high,NaN,good
Explane,medium,NaN,low,low,NaN,low,NaN,bad
Explane,medium,NaN,low,low,NaN,medium,NaN,decent
Explane,medium,NaN,low,low,NaN,high,NaN,bad
Explane,medium,NaN,low,medium,NaN,low,NaN,decent
Explane,medium,NaN,low,medium,NaN,medium,NaN,decent
Explane,medium,NaN,low,medium,NaN,high,NaN,decent
Explane,medium,NaN,low,high,NaN,low,NaN,bad
Explane,medium,NaN,low,high,NaN,medium,NaN,decent
Explane,medium,NaN,low,high,NaN,high,NaN,good
Explane,medium,NaN,medium,low,NaN,low,NaN,decent
Explane,medium,NaN,medium,low,NaN,medium,NaN,decent
Explane,medium,NaN,medium,low,NaN,high,NaN,decent
Explane,medium,NaN,medium,medium,NaN,low,NaN,decent
Explane,medium,NaN,medium,medium,NaN,medium,NaN,decent
Explane,medium,NaN,medium,medium,NaN,high,NaN,decent
Explane,medium,NaN,medium,high,NaN,low,NaN,decent
Explane,medium,NaN,medium,high,NaN,medium,NaN,decent
Explane,medium,NaN,medium,high,NaN,high,NaN,good
Explane,medium,NaN,high,low,NaN,low,NaN,bad
Explane,medium,NaN,high,low,NaN,medium,NaN,decent
Explane,medium,NaN,high,low,NaN,high,NaN,good
Explane,medium,NaN,high,medium,NaN,low,NaN,decent
Explane,medium,NaN,high,medium,NaN,medium,NaN,decent
Explane,medium,NaN,high,medium,NaN,high,NaN,good
Explane,medium,NaN,high,high,NaN,low,NaN,good
Explane,medium,NaN,high,high,NaN,medium,NaN,good
Explane,medium,NaN,high,high,NaN,high,NaN,good
Explane,high,NaN,low,low,NaN,low,NaN,bad
Explane,high,NaN,low,low,NaN,medium,NaN,bad
Explane,high,NaN,low,low,NaN,high,NaN,good
Explane,high,NaN,low,medium,NaN,low,NaN,bad
Explane,high,NaN,low,medium,NaN,medium,NaN,decent
Explane,high,NaN,low,medium,NaN,high,NaN,good
Explane,high,NaN,low,high,NaN,low,NaN,good
Explane,high,NaN,low,high,NaN,medium,NaN,good
Explane,high,NaN,low,high,NaN,high,NaN,good
Explane,high,NaN,medium,low,NaN,low,NaN,bad
Explane,high,NaN,medium,low,NaN,medium,NaN,decent
Explane,high,NaN,medium,low,NaN,high,NaN,good
Explane,high,NaN,medium,medium,NaN,low,NaN,decent
Explane,high,NaN,medium,medium,NaN,medium,NaN,decent
Explane,high,NaN,medium,medium,NaN,high,NaN,good
Explane,high,NaN,medium,high,NaN,low,NaN,good
Explane,high,NaN,medium,high,NaN,medium,NaN,good
Explane,high,NaN,medium,high,NaN,high,NaN,good
Explane,high,NaN,high,low,NaN,low,NaN,good
Explane,high,NaN,high,low,NaN,medium,NaN,good
Explane,high,NaN,high,low,NaN,high,NaN,good
Explane,high,NaN,high,medium,NaN,low,NaN,good
Explane,high,NaN,high,medium,NaN,medium,NaN,good
Explane,high,NaN,high,medium,NaN,high,NaN,good
